Country/Region,Afghanistan,Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka
01/22/20,0,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,1,0,0
01/26/20,0,0,0,0,0,1,0,0
01/27/20,0,0,0,0,0,1,0,1
01/28/20,0,0,0,0,0,1,0,1
01/29/20,0,0,0,0,0,1,0,1
01/30/20,0,0,0,1,0,1,0,1
01/31/20,0,0,0,1,0,1,0,1
02/01/20,0,0,0,1,0,1,0,1
02/02/20,0,0,0,2,0,1,0,1
02/03/20,0,0,0,3,0,1,0,1
02/04/20,0,0,0,3,0,1,0,1
02/05/20,0,0,0,3,0,1,0,1
02/06/20,0,0,0,3,0,1,0,1
02/07/20,0,0,0,3,0,1,0,1
02/08/20,0,0,0,3,0,1,0,1
02/09/20,0,0,0,3,0,1,0,1
02/10/20,0,0,0,3,0,1,0,1
02/11/20,0,0,0,3,0,1,0,1
02/12/20,0,0,0,3,0,1,0,1
02/13/20,0,0,0,3,0,1,0,1
02/14/20,0,0,0,3,0,1,0,1
02/15/20,0,0,0,3,0,1,0,1
02/16/20,0,0,0,3,0,1,0,1
02/17/20,0,0,0,3,0,1,0,1
02/18/20,0,0,0,3,0,1,0,1
02/19/20,0,0,0,3,0,1,0,1
02/20/20,0,0,0,3,0,1,0,1
02/21/20,0,0,0,3,0,1,0,1
02/22/20,0,0,0,3,0,1,0,1
02/23/20,0,0,0,3,0,1,0,1
02/24/20,1,0,0,3,0,1,0,1
02/25/20,1,0,0,3,0,1,2,1
02/26/20,1,0,0,3,0,1,2,1
02/27/20,1,0,0,3,0,1,2,1
02/28/20,1,0,0,3,0,1,4,1
02/29/20,1,0,0,3,0,1,4,1
03/01/20,1,0,0,3,0,1,4,1
03/02/20,1,0,0,5,0,1,5,1
03/03/20,2,0,0,5,0,1,5,1
03/04/20,4,0,0,28,0,1,5,1
03/05/20,4,0,0,30,0,1,6,1
03/06/20,4,0,1,31,0,1,6,1
03/07/20,4,0,1,34,0,1,6,1
03/08/20,5,3,1,39,4,1,6,1
03/09/20,7,3,1,43,4,1,16,1
03/10/20,8,3,1,56,6,1,19,1
03/11/20,11,3,1,62,8,1,20,2
03/12/20,12,3,1,73,8,1,28,2
03/13/20,13,3,1,82,9,1,31,6
03/14/20,15,3,1,102,10,1,53,10
03/15/20,16,5,1,113,13,1,136,18
03/16/20,18,8,1,119,13,1,236,28
03/17/20,20,10,1,142,13,1,299,44
03/18/20,24,14,1,156,13,1,454,51
03/19/20,25,17,1,194,13,1,501,60
03/20/20,29,20,2,244,13,1,730,73
03/21/20,30,25,2,330,13,1,776,77
03/22/20,34,27,2,396,13,1,875,82
03/23/20,41,33,2,499,13,2,972,97
03/24/20,43,39,2,536,13,2,1063,102
03/25/20,76,39,2,657,13,3,1201,102
03/26/20,80,44,2,727,13,3,1373,106
03/27/20,91,48,3,887,16,4,1495,106
03/28/20,107,48,3,987,16,5,1597,113
03/29/20,118,48,4,1024,17,5,1717,117
03/30/20,146,49,4,1251,17,5,1938,122
03/31/20,175,51,4,1397,18,5,2118,143
04/01/20,197,54,4,1998,19,5,2421,146
04/02/20,240,56,5,2543,19,6,2686,151
04/03/20,275,61,5,2567,19,6,2818,159
04/04/20,300,70,5,3082,19,9,3157,166
04/05/20,338,88,5,3588,19,9,3766,176
04/06/20,368,123,5,4778,19,9,4035,178
04/07/20,424,164,5,5311,19,9,4263,185
04/08/20,445,218,5,5916,19,9,4489,189
04/09/20,485,330,5,6725,19,9,4695,190
04/10/20,532,424,5,7598,19,9,5011,190
04/11/20,556,482,5,8446,19,9,5230,198
04/12/20,608,621,5,9205,20,12,5496,210
04/13/20,666,803,5,10453,20,14,5837,217
04/14/20,715,1012,5,11487,20,16,6383,233
04/15/20,785,1231,5,12322,22,16,6919,238
04/16/20,841,1572,5,13430,25,16,7025,238
