Country/Region,Afghanistan,Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka
01/22/20,0,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0,0
03/11/20,0,0,0,1,0,0,0,0
03/12/20,0,0,0,1,0,0,0,0
03/13/20,0,0,0,2,0,0,0,0
03/14/20,0,0,0,2,0,0,0,0
03/15/20,0,0,0,2,0,0,0,0
03/16/20,0,0,0,2,0,0,0,0
03/17/20,0,0,0,3,0,0,0,0
03/18/20,0,1,0,3,0,0,2,0
03/19/20,0,1,0,4,0,0,3,0
03/20/20,0,1,0,5,0,0,3,0
03/21/20,0,2,0,4,0,0,5,0
03/22/20,1,2,0,7,0,0,6,0
03/23/20,1,3,0,10,0,0,7,0
03/24/20,1,4,0,10,0,0,8,0
03/25/20,2,5,0,12,0,0,9,0
03/26/20,3,5,0,20,0,0,11,0
03/27/20,3,5,0,20,0,0,12,0
03/28/20,4,5,0,24,0,0,14,1
03/29/20,4,5,0,27,0,0,21,1
03/30/20,4,5,0,32,0,0,26,2
03/31/20,4,5,0,35,0,0,27,2
04/01/20,4,6,0,58,0,0,34,3
04/02/20,4,6,0,72,0,0,40,4
04/03/20,8,6,0,72,0,0,41,4
04/04/20,10,8,0,86,0,0,47,5
04/05/20,12,9,0,99,0,0,53,5
04/06/20,15,12,0,136,0,0,57,5
04/07/20,16,17,0,150,0,0,61,6
04/08/20,16,20,0,178,0,0,65,7
04/09/20,17,21,0,226,0,0,66,7
04/10/20,18,27,0,246,0,0,86,7
04/11/20,18,30,0,288,0,0,91,7
04/12/20,19,34,0,331,0,0,93,7
04/13/20,22,39,0,358,0,0,96,7
04/14/20,23,46,0,393,0,0,111,7
04/15/20,29,50,0,405,0,0,128,7
04/16/20,30,60,0,448,0,0,135,7
04/17/20,30,75,0,486,0,0,143,7
04/18/20,30,84,0,521,0,0,168,7
